"DAYS LEFT","ДНІВ ЗАЛИШИЛОСЬ"
"Three","Три"
"on Fashion","на Моду"
"Weeks sale!","Розпродаж тижня!"
"Only","Тільки"
"Shop Today","Купуйте сьогодні"
"Get","Отримати"
"Discount","Знижку"
"Get Your Discount","Отримайте Свою Знижку"
"purchase","покупці"
"with online","при онлайн"
"DISCOUNT","ЗНИЖКА"
"Coats","на ПАЛЬТА"
"Up to","Аж до"
"Shop Now","Купити Зараз"
"SWEATERS","на СВЕТРИ"
"Trained stufs are ready to help","Навчені співробітники готові допомогти"
"Online Support","Онлайн Підтримка"
"100% money back guarantee","100% гарантія повернення грошей"
"Money Back Guarantee","Гарантія Повернення Грошей"
"Free shipping on all orders over $100","Безкоштовна доставка для всіх замовлень на суму понад 100$"
"Free Shipping","Безкоштовна Доставка"
"Find your choice","Знайдіть свій вибір"
"Summer collection only today!","Літня колекція тільки сьогодні!"
"READ MORE", "ЧИТАТИ БІЛЬШЕ"
"Latest","Останні"
"Blogs","Статті"
"July 30, 2022","30 липня 2022 року"
"How to clean a coat.","Як почистити пальто"
"To clean a coat, you need to buy it.","Щоб почистити пальто, його потрібно купити."
"Thank you for visiting my store.","Дякую, що відвідали мій магазин."
"Subscribe to our newsletter to get exclusive discounts and new theme launches right in your inbox.","Підпишіться на нашу розсилку, щоб отримувати ексклюзивні знижки та запуски нових тем прямо у свою поштову скриньку."
"Latest From","Новинки від"
"Contacts","Контакти"
"Address","Адреса"
"Volodumur, Ukraine","м.Володимир,Волинська обл."
"Phone","Телефон"
"Mail Us","Електронна пошта"
"Return Policy","Політика повернення"
"My Wishlist","Мій список бажань"
"Shopping Cart","Мій кошик"
"My Account","Мій Обліковий запис"
"Quick Links","Швидкі посилання"
"Privacy and Cookie Policy","Політика конфіденційності та файлів cookie"
"Contact Us","Зв'яжіться з нами"
"Orders and Returns","Замовлення та Повернення"
"Customer Services","Обслуговування клієнтів"
"Live Chat","Онлайн чат"
"About Us","Про нас"
"Terms and conditions","Правила та умови"
"Customer Relation","Відносини з клієнтами"
"Privacy Policy","Політика конфіденційності"
"Create New Customer Account","Створити новий обліковий запис клієнта"
"Allow remote shopping assistance","Дозволити дистанційну допомогу в покупках"

